scenario_id,length,has_crash,noise_sigma,baseline_low,drift_min,drift_max,crash_start,ground_truth_crashed,threshold_alert_time,aump_alert_time@0.5,lead_time@0.5,false_alarm@0.5,aump_alert_time@0.6,lead_time@0.6,false_alarm@0.6,aump_alert_time@0.7,lead_time@0.7,false_alarm@0.7,aump_alert_time@0.8,lead_time@0.8,false_alarm@0.8,aump_alert_time@0.9,lead_time@0.9,false_alarm@0.9
0,30,True,1.0,70,0.5336342005717425,2.055750790662072,17,True,24.0,21.0,3.0,False,21.0,3.0,False,22.0,2.0,False,25.0,-1.0,False,,,False
1,30,False,2.5,70,0.6107516298129688,2.0582164751952448,-1,False,,14.0,,True,20.0,,True,21.0,,True,,,False,,,False
2,30,True,1.5,75,0.6006910606702005,2.3460357957983016,15,True,27.0,16.0,11.0,False,23.0,4.0,False,24.0,3.0,False,27.0,0.0,False,,,False
3,30,True,2.5,75,0.7211139648617628,2.0156783190028413,18,False,,21.0,,True,21.0,,True,,,False,,,False,,,False
4,30,False,2.0,65,0.43774042643150085,2.4424626880115867,-1,False,,,,False,,,False,,,False,,,False,,,False
5,30,True,2.5,70,0.5104963536721716,1.9661895176629565,16,True,12.0,5.0,7.0,False,6.0,6.0,False,6.0,6.0,False,13.0,-1.0,False,14.0,-2.0,False
6,30,False,1.0,70,0.5957096410174001,1.515347853235005,-1,False,,,,False,,,False,,,False,,,False,,,False
7,30,True,1.0,70,0.7209477918759626,2.267822141047942,12,True,25.0,18.0,7.0,False,20.0,5.0,False,21.0,4.0,False,26.0,-1.0,False,27.0,-2.0,False
8,30,False,2.5,70,0.490347620003293,2.8096968930623847,-1,False,,,,False,,,False,,,False,,,False,,,False
9,30,False,2.0,70,0.6026342972537272,1.8270088950694021,-1,False,,,,False,,,False,,,False,,,False,,,False
10,30,True,1.5,65,0.36249977932863653,1.718503112782153,21,False,,,,False,,,False,,,False,,,False,,,False
11,30,False,2.5,75,0.42941453883790176,2.7597986613976575,-1,False,,,,False,,,False,,,False,,,False,,,False
12,30,True,1.5,70,0.7993864750876063,1.8229792907228424,18,False,,,,False,,,False,,,False,,,False,,,False
13,30,True,1.5,70,0.7470389581065844,2.033628410751907,17,True,20.0,16.0,4.0,False,17.0,3.0,False,19.0,1.0,False,21.0,-1.0,False,27.0,-7.0,False
14,30,True,1.0,70,0.7535654245615717,1.6398834250643088,17,False,,,,False,,,False,,,False,,,False,,,False
15,30,False,1.0,75,0.5628673164511682,2.5226511506319818,-1,False,,,,False,,,False,,,False,,,False,,,False
16,30,False,2.0,65,0.310633444400184,2.9245748746607942,-1,False,,4.0,,True,4.0,,True,4.0,,True,,,False,,,False
17,30,True,2.0,70,0.4437961225281046,2.5117761657883877,14,False,,,,False,,,False,,,False,,,False,,,False
18,30,False,1.0,75,0.7899364451317036,1.5317887289508456,-1,False,,,,False,,,False,,,False,,,False,,,False
19,30,False,2.0,65,0.5950831552991309,2.0234578307196176,-1,False,,23.0,,True,28.0,,True,28.0,,True,,,False,,,False
20,30,False,1.5,70,0.49129522130419684,2.45254093100031,-1,False,,,,False,,,False,,,False,,,False,,,False
21,30,True,2.0,70,0.6738046624803761,2.694020954954489,20,False,,,,False,,,False,,,False,,,False,,,False
22,30,False,2.5,70,0.476867197810512,2.466564154311369,-1,False,,,,False,,,False,,,False,,,False,,,False
23,30,False,2.5,75,0.3096279339058752,2.3253084436962284,-1,False,,9.0,,True,,,False,,,False,,,False,,,False
24,30,True,1.5,65,0.30458658410722755,2.5792507425623885,19,True,22.0,6.0,16.0,False,9.0,13.0,False,10.0,12.0,False,24.0,-2.0,False,24.0,-2.0,False
25,30,True,1.5,65,0.47659981939452256,2.4970600344873466,13,False,,23.0,,True,23.0,,True,29.0,,True,,,False,,,False
26,30,True,2.0,70,0.36811847249701324,2.3927937540421964,14,True,22.0,15.0,7.0,False,15.0,7.0,False,18.0,4.0,False,19.0,3.0,False,24.0,-2.0,False
27,30,True,1.0,75,0.3124422388600487,2.180222305117542,17,False,,27.0,,True,28.0,,True,29.0,,True,29.0,,True,,,False
28,30,True,1.5,65,0.3063949380938007,2.616838796140629,18,False,,28.0,,True,28.0,,True,,,False,,,False,,,False
29,30,True,1.5,65,0.6229573104159338,1.6927071883170337,20,True,27.0,25.0,2.0,False,26.0,1.0,False,26.0,1.0,False,27.0,0.0,False,,,False
30,30,True,2.5,75,0.632052245957303,2.937354481246952,19,False,,26.0,,True,26.0,,True,26.0,,True,26.0,,True,26.0,,True
